method,n_molecules,rank_by_reward,reward,nearest_neighbour_sim,mean_pct_library_above_tau,smiles
"BC-Enum-SB  λ=10",96,18,7.8784,0.6050,7.8070,"O=C1Cc2ccc(C(=O)Cn3cc(CNC(=O)c4ccc5nc(C6CNC6)oc5c4)c4ccccc43)cc2N1"
"BC-Enum-SB  λ=10",96,19,7.4100,0.7423,7.8070,"O=C(Nc1cccc2cc[nH]c12)c1ccc2nc(C3CN(C(=O)c4ccc5oc(C6CNC6)nc5c4)C3)oc2c1"
"BC-Enum-SB  λ=10",96,20,7.7678,0.6471,7.8070,"c1cc2oc(C3CNC3)nc2cc1CNC12CC(C1)C2"
"BC-Enum-SB  λ=10",96,21,7.5073,0.7176,7.8070,"O=C(Nc1ccnc2ccccc12)c1ccc2oc(C3CNC3)nc2c1"
"BC-Enum-SB  λ=10",96,22,7.4545,0.6418,7.8070,"O=C(NC1CC1)c1ccc2oc(C3CNC3)nc2c1"
"BC-Enum-SB  λ=10",96,23,7.6354,0.6471,7.8070,"c1cc2nc(C3CNC3)oc2cc1CNC12CC(C1)C2"
"BC-Enum-SB  λ=10",96,24,7.6800,0.5714,7.8070,"c1ccc(CN(Cc2ccc3oc(C4CNC4)nc3c2)Cc2cn(CC3CC3)c3ccccc23)cc1"
"BC-Enum-SB  λ=10",96,25,7.6304,0.7973,7.8070,"Brc1ccc(NCc2ccc3oc(C4CN(Cc5ccc6oc(C7CNC7)nc6c5)C4)nc3c2)cc1"
"BC-Enum-SB  λ=10",96,26,7.7159,0.6761,7.8070,"Brc1ccc(N(Cc2ccc3oc(C4CNC4)nc3c2)Cc2ccc3oc(C4CNC4)nc3c2)cc1"
"BC-Enum-SB  λ=10",96,27,7.3696,0.6587,7.8070,"Fc1cc(CN(Cc2c[nH]c3ccccc23)c2ccc(NCc3ccc(-c4nnn(CC5CC5)n4)nc3)cc2)ccn1"
"BC-Enum-SB  λ=10",96,28,7.5970,0.5926,7.8070,"CC(NC(=O)c1ccc2nc(C3CNC3)oc2c1)c1ccccc1"
"BC-Enum-SB  λ=10",96,29,7.5218,0.7867,7.8070,"Brc1ccc(NCc2ccc3nc(C4CN(Cc5ccc6nc(C7CNC7)oc6c5)C4)oc3c2)cc1"
"BC-Enum-SB  λ=10",96,30,7.2505,0.7423,7.8070,"O=C(Nc1cccc2cc[nH]c12)c1ccc2nc(C3CNC3)oc2c1"
"BC-Enum-SB  λ=10",96,31,7.4196,0.6761,7.8070,"Brc1ccc(N(Cc2ccc3nc(C4CNC4)oc3c2)Cc2ccc3nc(C4CNC4)oc3c2)cc1"
"BC-Enum-SB  λ=10",96,32,7.3680,0.6319,7.8070,"O=C(Nc1cccc2cc[nH]c12)N(Cc1ccc(-c2nnn(CC3CC3)n2)nc1)c1ccc(NCc2c[nH]c3ccccc23)cc1"
"BC-Enum-SB  λ=10",96,33,7.3720,0.6081,7.8070,"c1ccc(NCc2ccc3oc(C4CNC4)nc3c2)nc1"
"BC-Enum-SB  λ=10",96,34,7.7376,0.5969,7.8070,"c1ccc2c(CN(Cc3ccc(-c4nnn(CC5CC5)n4)nc3)Cc3cn(CC4CC4)c4ccccc34)c[nH]c2c1"
"BC-Enum-SB  λ=10",96,35,7.0686,0.7973,7.8070,"Brc1ccc(NCc2ccc3oc(C4CNC4)nc3c2)cc1"
"BC-Enum-SB  λ=10",96,36,7.5320,0.8118,7.8070,"O=C(c1ccc2oc(C3CNC3)nc2c1)N(Cc1ccc2oc(C3CNC3)nc2c1)c1ccc(Br)cc1"
"BC-Enum-SB  λ=10",96,37,7.4832,0.6571,7.8070,"c1ccc(CNCc2ccc3oc(C4CNC4)nc3c2)cc1"
"BC-Enum-SB  λ=10",96,38,7.0539,0.7867,7.8070,"Brc1ccc(NCc2ccc3nc(C4CNC4)oc3c2)cc1"
"BC-Enum-SB  λ=10",96,39,7.3416,0.6518,7.8070,"N#Cc1cccc(Cn2cc(CNC(=O)c3ccc4nc(C5CNC5)oc4c3)c3ccccc32)c1"
"BC-Enum-SB  λ=10",96,40,7.7548,0.6746,7.8070,"O=C(C1CCCNC1)N(Cc1ccc(-c2nnn(CC3CC3)n2)nc1)c1ccc(NCc2c[nH]c3ccccc23)cc1"
"BC-Enum-SB  λ=10",96,41,7.5486,0.7176,7.8070,"O=C(Nc1ccnc2ccccc12)c1ccc2nc(C3CNC3)oc2c1"
"BC-Enum-SB  λ=10",96,42,7.4297,0.6571,7.8070,"c1ccc(CNCc2ccc3nc(C4CNC4)oc3c2)cc1"
"BC-Enum-SB  λ=10",96,43,7.7929,0.6418,7.8070,"O=C(NC1CC1)c1ccc2nc(C3CNC3)oc2c1"
"BC-Enum-SB  λ=10",96,44,7.6259,0.7976,7.8070,"O=C(c1ccc2nc(C3CNC3)oc2c1)N(Cc1ccc2nc(C3CNC3)oc2c1)c1ccc(Br)cc1"
"BC-Enum-SB  λ=10",96,45,7.6159,0.7615,7.8070,"O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CN(C(=O)C4Cc5ccccc5CN4)C3)oc2c1"
"BC-Enum-SB  λ=10",96,46,7.6342,0.8118,7.8070,"O=C(c1ccc2oc(C3CNC3)nc2c1)N(Cc1ccc2nc(C3CNC3)oc2c1)c1ccc(Br)cc1"
"BC-Enum-SB  λ=10",96,47,7.3939,0.7556,7.8070,"c1ccc2c(CCNCc3ccc(-c4nnn(CC5CC5)n4)nc3)c[nH]c2c1"
"BC-Enum-SB  λ=10",96,48,7.9381,0.7838,7.8070,"c1ccc2c(CN(c3ccc(NCc4ccc(-c5nnn(CC6CC6)n5)nc4)cc3)C3CNC3)c[nH]c2c1"
"BC-Enum-SB  λ=10",96,49,8.0039,0.7838,7.8070,"c1ccc2c(CNc3ccc(N(Cc4ccc(-c5nnn(CC6CC6)n5)nc4)C4CNC4)cc3)c[nH]c2c1"
"BC-Enum-SB  λ=10",96,50,7.6647,0.6800,7.8070,"O=C(NCc1ccccc1)c1ccc2oc(C3CNC3)nc2c1"
"BC-Enum-SB  λ=10",96,51,7.9075,0.7391,7.8070,"c1ccc2c(CNc3ccc(NCc4ccc(-c5nnn(CC6CC6)n5)nc4)cc3)c[nH]c2c1"
"BC-Enum-SB  λ=10",96,52,7.5684,0.7556,7.8070,"c1ccc2c(CNCc3ccc(-c4nnn(CC5CC5)n4)nc3)c[nH]c2c1"
"BC-Enum-SB  λ=10",96,53,7.7079,0.7105,7.8070,"Brc1ccc(NCc2ccc3oc(C4CN(Cc5ccc(-c6nnn(CC7CC7)n6)nc5)C4)nc3c2)cc1"
"BC-Enum-SB  λ=10",96,54,7.9029,0.7105,7.8070,"c1ccc(CNCc2ccc3oc(C4CN(Cc5ccc(-c6nnn(CC7CC7)n6)nc5)C4)nc3c2)cc1"
"BC-Enum-SB  λ=10",96,55,7.5528,0.6518,7.8070,"O=C(NCc1cn(CC2CCCC2)c2ccccc12)c1ccc2nc(C3CNC3)oc2c1"
"BC-Enum-SB  λ=10",96,56,7.8737,0.6733,7.8070,"c1ccc2c(CCN(Cc3ccc4oc(C5CNC5)nc4c3)Cc3ccc4oc(C5CNC5)nc4c3)c[nH]c2c1"
"BC-Enum-SB  λ=10",96,57,7.7687,0.6526,7.8070,"O=C(NCc1c[nH]c2ccccc12)c1ccc(-c2nnn(CC3CC3)n2)nc1"
"BC-Enum-SB  λ=10",96,58,7.6593,0.6396,7.8070,"c1ccc2c(CN(Cc3ccc4nc(C5CNC5)oc4c3)Cc3cn(CC4CC4)c4ccccc34)c[nH]c2c1"
"BC-Enum-SB  λ=10",96,59,8.0646,0.6639,7.8070,"c1cc(N(Cc2ccc(-c3nnn(CC4CC4)n3)nc2)Cc2ccc3oc(C4CNC4)nc3c2)c2[nH]ccc2c1"
"BC-Enum-SB  λ=10",96,60,7.5947,0.7723,7.8070,"O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CN(C(=O)NC4CC4)C3)oc2c1"
"BC-Enum-SB  λ=10",96,61,7.9059,0.6127,7.8070,"O=C(Nc1cccc2cc[nH]c12)c1ccc2nc(C3CN(Cc4ccc(-c5nnn(CC6CC6)n5)nc4)C3)oc2c1"
"BC-Enum-SB  λ=10",96,62,7.6896,0.8269,7.8070,"O=C(c1ccc2oc(C3CNC3)nc2c1)N(CCc1c[nH]c2ccccc12)Cc1ccc2oc(C3CNC3)nc2c1"
"BC-Enum-SB  λ=10",96,63,7.6974,0.6754,7.8070,"O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CN(Cc4cn(CC5CC5)c5ccccc45)C3)oc2c1"
"BC-Enum-SB  λ=10",96,64,7.2496,0.7529,7.8070,"c1ccc2c(CCNCc3ccc4oc(C5CNC5)nc4c3)c[nH]c2c1"
"BC-Enum-SB  λ=10",96,65,7.6975,0.6800,7.8070,"O=C(NCc1ccccc1)c1ccc2nc(C3CNC3)oc2c1"
"BC-Enum-SB  λ=10",96,66,7.6713,0.8202,7.8070,"c1ccc2c(CNCc3ccc4nc(C5CN(Cc6ccc7nc(C8CNC8)oc7c6)C5)oc4c3)c[nH]c2c1"
"BC-Enum-SB  λ=10",96,67,8.0167,0.6850,7.8070,"O=C(c1ccc2nc(C3CNC3)oc2c1)N(Cc1ccc(-c2nnn(CC3CC3)n2)nc1)c1cccc2cc[nH]c12"
"BC-Enum-SB  λ=10",96,68,7.6537,0.7723,7.8070,"O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CN(C(=O)C4CCN4)C3)oc2c1"
"BC-Enum-SB  λ=10",96,69,7.7885,0.8172,7.8070,"O=C(NCc1c[nH]c2ccccc12)c1ccc2oc(C3CN(C(=O)c4ccc5oc(C6CNC6)nc5c4)C3)nc2c1"
"BC-Enum-SB  λ=10",96,70,7.9118,0.6598,7.8070,"c1ccc2c(CN(Cc3ccc4oc(C5CNC5)nc4c3)Cc3ccc4nc(C5CNC5)oc4c3)c[nH]c2c1"
"BC-Enum-SB  λ=10",96,71,7.4345,0.7529,7.8070,"c1ccc2c(CNCc3ccc4oc(C5CNC5)nc4c3)c[nH]c2c1"
"BC-Enum-SB  λ=10",96,72,7.3485,0.8182,7.8070,"O=C(c1ccc2nc(C3CNC3)oc2c1)N(Cc1ccc2nc(C3CNC3)oc2c1)Cc1c[nH]c2ccccc12"
"BC-Enum-SB  λ=10",96,73,7.4171,0.8090,7.8070,"O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CN(C4CNC4)C3)oc2c1"
"BC-Enum-SB  λ=10",96,74,7.3550,0.8182,7.8070,"O=C(c1ccc2oc(C3CNC3)nc2c1)N(Cc1ccc2nc(C3CNC3)oc2c1)Cc1c[nH]c2ccccc12"
"BC-Enum-SB  λ=10",96,75,7.9943,0.6754,7.8070,"c1ccc(CN(Cc2ccc(-c3nnn(CC4CC4)n3)nc2)Cc2ccc3oc(C4CNC4)nc3c2)cc1"
"BC-Enum-SB  λ=10",96,76,7.6734,0.7526,7.8070,"O=C(c1ccc2nc(C3CNC3)oc2c1)N1CC(c2nc3ccc(CNCc4c[nH]c5ccccc45)cc3o2)C1"
"BC-Enum-SB  λ=10",96,77,7.7803,0.7009,7.8070,"Brc1ccc(N(Cc2ccc(-c3nnn(CC4CC4)n3)nc2)Cc2ccc3oc(C4CNC4)nc3c2)cc1"
"BC-Enum-SB  λ=10",96,78,7.3944,0.7912,7.8070,"O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CN(CC4CNC4)C3)oc2c1"
"BC-Enum-SB  λ=10",96,79,7.7260,0.8269,7.8070,"O=C(c1ccc2nc(C3CNC3)oc2c1)N(CCc1c[nH]c2ccccc12)Cc1ccc2oc(C3CNC3)nc2c1"
"BC-Enum-SB  λ=10",96,80,7.3965,0.8202,7.8070,"c1ccc2c(CNCc3ccc4nc(C5CNC5)oc4c3)c[nH]c2c1"
"BC-Enum-SB  λ=10",96,81,7.7226,0.7982,7.8070,"O=C(c1ccc2oc(C3CNC3)nc2c1)N(Cc1ccc(-c2nnn(CC3CC3)n2)nc1)c1ccc(Br)cc1"
"BC-Enum-SB  λ=10",96,82,7.8187,0.6880,7.8070,"c1ccc2c(CCNCc3ccc4oc(C5CN(Cc6ccc(-c7nnn(CC8CC8)n7)nc6)C5)nc4c3)c[nH]c2c1"
"BC-Enum-SB  λ=10",96,83,7.6064,0.8053,7.8070,"O=C(c1ccc(-c2nnn(CC3CC3)n2)nc1)N(Cc1ccc2oc(C3CNC3)nc2c1)c1ccc(Br)cc1"
"BC-Enum-SB  λ=10",96,84,7.4593,0.7416,7.8070,"O=C(NCCc1c[nH]c2ccccc12)c1ccc2nc(C3CNC3)oc2c1"
"BC-Enum-SB  λ=10",96,85,7.6951,0.8053,7.8070,"O=C(c1ccc(-c2nnn(CC3CC3)n2)nc1)N(Cc1ccc2nc(C3CNC3)oc2c1)c1ccc(Br)cc1"
"BC-Enum-SB  λ=10",96,86,7.8118,0.8261,7.8070,"O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CN(C(=O)c4ccc5nc(C6CNC6)oc5c4)C3)oc2c1"
"BC-Enum-SB  λ=10",96,87,7.6581,0.8172,7.8070,"O=C(NCc1c[nH]c2ccccc12)c1ccc2oc(C3CNC3)nc2c1"
"BC-Enum-SB  λ=10",96,88,7.7619,0.7982,7.8070,"O=C(c1ccc2nc(C3CNC3)oc2c1)N(Cc1ccc(-c2nnn(CC3CC3)n2)nc1)c1ccc(Br)cc1"
"BC-Enum-SB  λ=10",96,89,7.8697,0.7385,7.8070,"c1ccc2c(CNCc3ccc4nc(C5CN(Cc6ccc(-c7nnn(CC8CC8)n7)nc6)C5)oc4c3)c[nH]c2c1"
"BC-Enum-SB  λ=10",96,90,7.9446,0.8203,7.8070,"O=C(NCCc1c[nH]c2ccccc12)c1ccc2nc(C3CN(Cc4ccc(-c5nnn(CC6CC6)n5)nc4)C3)oc2c1"
"BC-Enum-SB  λ=10",96,91,7.8025,0.7829,7.8070,"O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CN(C(=O)c4ccc(-c5nnn(CC6CC6)n5)nc4)C3)oc2c1"
"BC-Enum-SB  λ=10",96,92,7.7756,0.6720,7.8070,"O=C(c1ccc(-c2nnn(CC3CC3)n2)nc1)N(CCc1c[nH]c2ccccc12)Cc1ccc2oc(C3CNC3)nc2c1"
"BC-Enum-SB  λ=10",96,93,7.6512,0.8261,7.8070,"O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CNC3)oc2c1"
"BC-Enum-SB  λ=10",96,94,8.0081,0.6000,7.8070,"c1ccc2c(CN(Cc3ccc(-c4nnn(CC5CC5)n4)nc3)Cc3ccc4nc(C5CNC5)oc4c3)c[nH]c2c1"
"BC-Enum-SB  λ=10",96,95,8.0533,0.8203,7.8070,"O=C(NCc1c[nH]c2ccccc12)c1ccc2nc(C3CN(Cc4ccc(-c5nnn(CC6CC6)n5)nc4)C3)oc2c1"
